"author.id.oape","author.id.viaf","author.name","author.birth","author.death","Target","publication.title","word.count","character.count","Weight","Source"
"102",NA,"ز. خ",NA,NA,"4770057679","al-Muqtabas",6530,32310,2,"z. K"
"436","96962923","سعيد الشرتوني","1849","1912-08-18","4770057679","al-Muqtabas",3223,13914,2,"s3yd alWrtwny"
"298",NA,"سليم البخاري",NA,NA,"4770057679","al-Muqtabas",3943,17685,2,"slym albKary"
"1845","21058435","سليمان الدخيل","1877","1945-12-28","472450345","Lughat al-ʿArab",2445,11106,2,"slyman aldKyl"
"829","305214718","سليمان غزالة","1854","1929","4770057679","al-Muqtabas",2323,10679,2,"slyman Gzal0"
NA,NA,"ش",NA,NA,"4770057679","al-Muqtabas",3320,14509,2,"W"
"1899",NA,"شكري الفضلي",NA,NA,"472450345","Lughat al-ʿArab",3940,17834,2,"Wkry alfDly"
NA,NA,"ص",NA,NA,"4770057679","al-Muqtabas",4480,20655,2,"S"
"3715",NA,"صلاح الدين",NA,NA,"644997575","al-Ḥaqāʾiq",1600,7102,2,"Sla7 aldyn"
"638","225088570","طه حسين","1889-11-14","1973-10-28","4770057679","al-Muqtabas",9095,41157,2,"Th 7syn"
"497","27190968","عبد الحميد الكاتب",NA,"0750-01-01","4770057679","al-Muqtabas",11680,52554,2,"3bd al7myd alkatb"
"1980","267152261514217180001","عبد الرحمن البناء","1882","1952","472450345","Lughat al-ʿArab",749,3174,2,"3bd alr7mn albnaq"
"516",NA,"عبد القادر المبارك",NA,NA,"644997575","al-Ḥaqāʾiq",90,369,2,"3bd alQadr almbark"
"891",NA,"عبد القادر كيوان",NA,NA,"644997575","al-Ḥaqāʾiq",137,571,2,"3bd alQadr kywan"
"3765",NA,"عبد اللطيف ثنيان",NA,NA,"472450345","Lughat al-ʿArab",1047,4452,2,"3bd allTyf Unyan"
"3771",NA,"عبد المجيد القصاب",NA,NA,"644997575","al-Ḥaqāʾiq",1405,6418,2,"3bd almjyd alQSab"
"533","40250618","عيسى اسكندر المعلوف","1869-04-11","1956-07-02","792756327","al-Ḥasnāʾ",20,82,2,"3ysA askndr alm3lwf"
"3823",NA,"فارس النجار",NA,NA,"644997575","al-Ḥaqāʾiq",822,3613,2,"fars alnjar"
"978","29641421","كلمان هوار","1854-02-16","1926-12-30","4770057679","al-Muqtabas",6315,28918,2,"klman hwar"
NA,NA,"لبنانية",NA,NA,"792756327","al-Ḥasnāʾ",14,63,2,"lbnany0"
"141",NA,"م. ي",NA,NA,"644997575","al-Ḥaqāʾiq",87,332,2,"m. y"
"456","17087051","محمد الطباع",NA,NA,"644997575","al-Ḥaqāʾiq",2887,12216,2,"m7md alTba3"
"786","63117968","محمد راغب طباخ","1877","1951","4770057679","al-Muqtabas",1944,8640,2,"m7md raGb TbaK"
"152",NA,"محمد سعيد إياس",NA,NA,"644997575","al-Ḥaqāʾiq",130,551,2,"m7md s3yd ayas"
"264","47005120","محمود شكري الآلوسي","1857-05-14","1924-05-08","4770057679","al-Muqtabas",3625,15817,2,"m7mwd Wkry alalwsy"
"370",NA,"محي الدين الخاني",NA,NA,"644997575","al-Ḥaqāʾiq",74,315,2,"m7y aldyn alKany"
"2435",NA,"محيي الدين فيض الله الكيلاني",NA,NA,"472450345","Lughat al-ʿArab",759,3448,2,"m7yy aldyn fyD allh alkylany"
"2446",NA,"مرج",NA,NA,"472450345","Lughat al-ʿArab",2198,9918,2,"mrj"
"475","265101315","مصطفى الغلاييني","1886-01-01","1944","4770057679","al-Muqtabas",457,1895,2,"mSTfA alGlayyny"
"2839","233275351","وردة اليازجي","1838-01-20","1924","792756327","al-Ḥasnāʾ",15,68,2,"wrd0 alyazjy"
"2773",NA,"يوسف لويس الكرملي",NA,NA,"472450345","Lughat al-ʿArab",4206,18410,2,"ywsf lwys alkrmly"
"1",NA,"أبو الضيا
",NA,NA,"4770057679","al-Muqtabas",738,3354,1,"abw alDya
"
"10",NA,"أ. ز. أ",NA,NA,"4770057679","al-Muqtabas",590,2562,1,"a. z. a"
"1023",NA,"أبو المحاسن محمد حسن",NA,NA,"472450345","Lughat al-ʿArab",332,1427,1,"abw alm7asn m7md 7sn"
NA,NA,"أبو اليسر ابراهيم بن محمد بن المدبر",NA,NA,"4770057679","al-Muqtabas",5689,25084,1,"abw alysr abrahym bn m7md bn almdbr"
"3052",NA,"أبي حامد الغزالي",NA,NA,"472450345","Lughat al-ʿArab",1458,6539,1,"aby 7amd alGzaly"
"654",NA,"أحمد إبراهيم خربوطلي",NA,NA,"4770057679","al-Muqtabas",711,3483,1,"a7md abrahym KrbwTly"
"451",NA,"أحمد الصابوني",NA,NA,"644997575","al-Ḥaqāʾiq",183,756,1,"a7md alSabwny"
"768","7540373","أحمد شوقي","1868-12-25","1932-10-23","4770057679","al-Muqtabas",343,1503,1,"a7md WwQy"
"884",NA,"أحمد كمال",NA,NA,"4770057679","al-Muqtabas",4067,18909,1,"a7md kmal"
"1062",NA,"أحمد رفيق",NA,NA,"472450345","Lughat al-ʿArab",1598,6956,1,"a7md rfyQ"
"3118",NA,"أحمد عبيد",NA,NA,"644997575","al-Ḥaqāʾiq",44,177,1,"a7md 3byd"
"661","305215014","أمين ظاهر خير الله","1948","1948","4770057679","al-Muqtabas",364,1549,1,"amyn Zahr Kyr allh"
"559","51537156","إسعاف النشاشيبي",NA,NA,"4770057679","al-Muqtabas",163,712,1,"as3af alnWaWyby"
"777","45752632","إسماعيل صبري","1854","1923","4770057679","al-Muqtabas",171,719,1,"asma3yl Sbry"
"1297",NA,"ا . ح",NA,NA,"644997575","al-Ḥaqāʾiq",1651,7707,1,"a . 7"
"3",NA,"ا. ج",NA,NA,"644997575","al-Ḥaqāʾiq",43,170,1,"a. j"
"45","305409071","ابن الأعرابي |ابن الأعرابي","0767","0846","4770057679","al-Muqtabas",1808,7556,1,"abn ala3raby |abn ala3raby"
NA,NA,"ابن الأمير محمد سعيد|محمد سعيد |محمد سعيد",NA,NA,"644997575","al-Ḥaqāʾiq",488,2214,1,"abn alamyr m7md s3yd|m7md s3yd |m7md s3yd"
"168","12338225","ابن تيمية","1263-01-22","1328-09-26","644997575","al-Ḥaqāʾiq",100,458,1,"abn tymy0"
NA,NA,"ابن كمال باشا",NA,NA,"4770057679","al-Muqtabas",1909,8638,1,"abn kmal baWa"
"63",NA,"ابو السعود مراد",NA,NA,"644997575","al-Ḥaqāʾiq",261,1095,1,"abw als3wd mrad"
NA,NA,"احمد أفندي نسيم",NA,NA,"4770057679","al-Muqtabas",102,428,1,"a7md afndy nsym"
NA,NA,"استير موايال",NA,NA,"792756327","al-Ḥasnāʾ",12,65,1,"astyr mwayal"
"2840",NA,"اسما سيور",NA,NA,"792756327","al-Ḥasnāʾ",7,26,1,"asma sywr"
NA,NA,"اسما بللمع",NA,NA,"792756327","al-Ḥasnāʾ",7,27,1,"asma bllm3"
"3227",NA,"الأب لويس الكرملي",NA,NA,"472450345","Lughat al-ʿArab",1094,4876,1,"alab lwys alkrmly"
"1306",NA,"الأبيل نرسيس صائغيان",NA,NA,"472450345","Lughat al-ʿArab",853,3840,1,"alabyl nrsys Sa5Gyan"
"3237",NA,"الأستاذ الدكتور اغناز غولدزيهر",NA,NA,"472450345","Lughat al-ʿArab",175,758,1,"alastai aldktwr aGnaz Gwldzyhr"
"303",NA,"البرسيم",NA,NA,"4770057679","al-Muqtabas",102,433,1,"albrsym"
"3273",NA,"الجنرال بريكولا",NA,NA,"644997575","al-Ḥaqāʾiq",609,2912,1,"aljnral brykwla"
NA,NA,"الحسين بن المصطفى الحلبي",NA,NA,"4770057679","al-Muqtabas",1982,8441,1,"al7syn bn almSTfA al7lby"
NA,NA,"الدجيلي",NA,NA,"472450345","Lughat al-ʿArab",490,2144,1,"aldjyly"
NA,NA,"الدكتور بورتو",NA,NA,"4770057679","al-Muqtabas",649,2986,1,"aldktwr bwrtw"
NA,NA,"الدكتور فياض الخطيب",NA,NA,"792756327","al-Ḥasnāʾ",11,45,1,"aldktwr fyaD alKTyb"
NA,NA,"الدكتور نجيب كحيل",NA,NA,"792756327","al-Ḥasnāʾ",9,33,1,"aldktwr njyb k7yl"
"3299",NA,"الدكتورجاك آميو",NA,NA,"472450345","Lughat al-ʿArab",1189,5227,1,"aldktwrjak amyw"
"3021",NA,"السيد صدر الدين أبو محمد الحسن العاملي",NA,NA,"472450345","Lughat al-ʿArab",121,546,1,"alsyd Sdr aldyn abw m7md al7sn al3amly"
NA,NA,"السيد عبد القادر العبادي",NA,NA,"4770057679","al-Muqtabas",145,591,1,"alsyd 3bd alQadr al3bady"
NA,NA,"السيد محمد الخضر",NA,NA,"4770057679","al-Muqtabas",3173,14557,1,"alsyd m7md alKDr"
"3330",NA,"السيدعبد القادر المبارك الجزائري",NA,NA,"644997575","al-Ḥaqāʾiq",644,2693,1,"alsyd3bd alQadr almbark aljza5ry"
"743","90051632","السيوطي","1445-10-03","1505-10-18","644997575","al-Ḥaqāʾiq",741,3201,1,"alsywTy"
"3345",NA,"الشماس فرنسيس اوغسطين جبران",NA,NA,"472450345","Lughat al-ʿArab",852,3817,1,"alWmas frnsys awGsTyn jbran"
"3372",NA,"الشيخ السيد المكي",NA,NA,"644997575","al-Ḥaqāʾiq",2793,12596,1,"alWyK alsyd almky"
NA,NA,"الشيخ رضي الدين محمد القزويني",NA,NA,"4770057679","al-Muqtabas",3509,14899,1,"alWyK rDy aldyn m7md alQzwyny"
NA,NA,"الشيخ رضي الدين محمد القزويني| محمود شكري الآلوسي",NA,NA,"4770057679","al-Muqtabas",3716,16745,1,"alWyK rDy aldyn m7md alQzwyny| m7mwd Wkry alalwsy"
NA,NA,"الشيخ شبلي النعماني",NA,NA,"4770057679","al-Muqtabas",1838,8061,1,"alWyK Wbly aln3many"
"3354",NA,"الشيخأحمد أفندي المحمصاني| محمد راغب طباخ",NA,NA,"644997575","al-Ḥaqāʾiq",756,3449,1,"alWyKa7md afndy alm7mSany| m7md raGb TbaK"
"3377",NA,"الشيخحسن أفندي الأسطواني",NA,NA,"644997575","al-Ḥaqāʾiq",232,1113,1,"alWyK7sn afndy alasTwany"
"3394",NA,"الشيخعارف افندي المحملجي",NA,NA,"644997575","al-Ḥaqāʾiq",216,952,1,"alWyK3arf afndy alm7mljy"
"3423",NA,"الشيخمحمد اسحاق الكشميري",NA,NA,"644997575","al-Ḥaqāʾiq",1834,7713,1,"alWyKm7md as7aQ alkWmyry"
"3434",NA,"الشيخمحمود افندي العطار",NA,NA,"644997575","al-Ḥaqāʾiq",2748,11912,1,"alWyKm7mwd afndy al3Tar"
"3438",NA,"الشيخمصطفى أفندي نجا| مصطفى نجا",NA,NA,"644997575","al-Ḥaqāʾiq",426,1940,1,"alWyKmSTfA afndy nja| mSTfA nja"
"3488",NA,"المسيوجبرائيل مدينا",NA,NA,"4770057679","al-Muqtabas",2391,10982,1,"almsywjbra5yl mdyna"
"230",NA,"المغربي",NA,NA,"4770057679","al-Muqtabas",1333,5647,1,"almGrby"
"3530",NA,"ب",NA,NA,"644997575","al-Ḥaqāʾiq",791,3535,1,"b"
"901","204498809","باولو لومبروزو",NA,NA,"4770057679","al-Muqtabas",1764,7997,1,"bawlw lwmbrwzw"
NA,NA,"بول يسون| عز الدين شيخ السروجية",NA,NA,"4770057679","al-Muqtabas",1553,8089,1,"bwl yswn| 3z aldyn WyK alsrwjy0"
"390","305214783","بولس الخولي","1876","1948","4770057679","al-Muqtabas",310,1338,1,"bwls alKwly"
NA,NA,"بولس شحاده",NA,NA,"792756327","al-Ḥasnāʾ",11,49,1,"bwls W7adh"
"6",NA,"ت ف",NA,NA,"644997575","al-Ḥaqāʾiq",1357,5656,1,"t f"
"468",NA,"توفيق العلمي",NA,NA,"644997575","al-Ḥaqāʾiq",161,690,1,"twfyQ al3lmy"
"869",NA,"توفيق قويدر",NA,NA,"644997575","al-Ḥaqāʾiq",84,387,1,"twfyQ Qwydr"
"234",NA,"ج . ض",NA,NA,"4770057679","al-Muqtabas",2615,11499,1,"j . D"
"857",NA,"ج ق",NA,NA,"4770057679","al-Muqtabas",632,2829,1,"j Q"
NA,NA,"جان لاهور",NA,NA,"4770057679","al-Muqtabas",4569,20738,1,"jan lahwr"
"719","90070090","جرجي ديمتري سرسق","1852","1913","4770057679","al-Muqtabas",604,2684,1,"jrjy dymtry srsQ"
"713","76496271","جرجي زيدان","1861-12-14","1914-07-21","472450345","Lughat al-ʿArab",1981,7927,1,"jrjy zydan"
NA,NA,"جرجي قصاص",NA,NA,"792756327","al-Ḥasnāʾ",18,75,1,"jrjy QSaS"
"586","52431747","جستور بالسوم","1852-09-25","1891-08-19","4770057679","al-Muqtabas",4982,20917,1,"jstwr balswm"
"418","61517780","جميل صدقي الزهاوي","1863-06-18","1936-02-24","472450345","Lughat al-ʿArab",2754,12406,1,"jmyl SdQy alzhawy"
NA,NA,"جوليا طمعه",NA,NA,"792756327","al-Ḥasnāʾ",9,35,1,"jwlya Tm3h"
NA,NA,"حسن عبد الهادي",NA,NA,"4770057679","al-Muqtabas",1227,5528,1,"7sn 3bd alhady"
"463","73713049","حقي العظم","1864-01-01","1955-01-01","4770057679","al-Muqtabas",4498,21062,1,"7Qy al3Zm"
"1610",NA,"حليم إبراهيم دموس",NA,NA,"792756327","al-Ḥasnāʾ",8,32,1,"7lym abrahym dmws"
"1616",NA,"حنا أنطون جرجس",NA,NA,"472450345","Lughat al-ʿArab",1827,7780,1,"7na anTwn jrjs"
NA,NA,"حنا حمصي",NA,NA,"792756327","al-Ḥasnāʾ",9,43,1,"7na 7mSy"
"1624",NA,"حنا ميخا الرسام",NA,NA,"472450345","Lughat al-ʿArab",485,2076,1,"7na myKa alrsam"
"3619",NA,"حنيفة",NA,NA,"644997575","al-Ḥaqāʾiq",61,246,1,"7nyf0"
"98",NA,"خالد الكاظم",NA,NA,"644997575","al-Ḥaqāʾiq",43,190,1,"Kald alkaZm"
"722","35793307","خليل سعادة","1857","1934-04-10","4770057679","al-Muqtabas",1209,5260,1,"Klyl s3ad0"
"931","102460074","خليل مطران","1872-07-01","1949-06-01","4770057679","al-Muqtabas",814,3428,1,"Klyl mTran"
"3628",NA,"خوجه زاده فخر الدين العينتابي",NA,NA,"644997575","al-Ḥaqāʾiq",68,323,1,"Kwjh zadh fKr aldyn al3yntaby"
NA,NA,"خير الله أفندي خير الله",NA,NA,"4770057679","al-Muqtabas",552,2554,1,"Kyr allh afndy Kyr allh"
"1664",NA,"خير الله خير الله",NA,NA,"792756327","al-Ḥasnāʾ",12,50,1,"Kyr allh Kyr allh"
"4092",NA,"داود فتو","1865","1921","472450345","Lughat al-ʿArab",732,3034,1,"dawd ftw"
NA,NA,"دكتور فيلكس رينول",NA,NA,"4770057679","al-Muqtabas",2045,9378,1,"dktwr fylks rynwl"
"701",NA,"دكتور فيليكس رينيول",NA,NA,"4770057679","al-Muqtabas",3002,13914,1,"dktwr fylyks rynywl"
"3642",NA,"ر. ق",NA,NA,"644997575","al-Ḥaqāʾiq",333,1407,1,"r. Q"
"420",NA,"راغب السادات",NA,NA,"644997575","al-Ḥaqāʾiq",580,2555,1,"raGb alsadat"
"350",NA,"رشدي الحكيم",NA,NA,"4770057679","al-Muqtabas",1465,6855,1,"rWdy al7kym"
"383","270654623","رشيد الخوري","1887","1984-08-27","4770057679","al-Muqtabas",296,1145,1,"rWyd alKwry"
"3649",NA,"رشيد عليوان",NA,NA,"644997575","al-Ḥaqāʾiq",50,213,1,"rWyd 3lywan"
"1755",NA,"روزا حداد",NA,NA,"792756327","al-Ḥasnāʾ",11,49,1,"rwza 7dad"
NA,NA,"روزا حداد",NA,NA,"792756327","al-Ḥasnāʾ",11,49,1,"rwza 7dad"
"227","39370998","ساتسنا","1866-08-05","1947-01-07","472450345","Lughat al-ʿArab",238,1046,1,"satsna"
"1804",NA,"سعيد كمال الدين",NA,NA,"472450345","Lughat al-ʿArab",268,1148,1,"s3yd kmal aldyn"
NA,NA,"سلمى طراد",NA,NA,"792756327","al-Ḥasnāʾ",17,72,1,"slmA Trad"
NA,NA,"سلوى",NA,NA,"792756327","al-Ḥasnāʾ",9,43,1,"slwA"
"866",NA,"سليم قصاب",NA,NA,"644997575","al-Ḥaqāʾiq",335,1480,1,"slym QSab"
NA,NA,"سليم سابا باز",NA,NA,"792756327","al-Ḥasnāʾ",14,54,1,"slym saba baz"
"106",NA,"سليم قصاب حسن",NA,NA,"644997575","al-Ḥaqāʾiq",45,184,1,"slym QSab 7sn"
NA,NA,"ش. ا",NA,NA,"4770057679","al-Muqtabas",1519,6663,1,"W. a"
"110",NA,"شحادة شحادة",NA,NA,"4770057679","al-Muqtabas",2984,14098,1,"W7ad0 W7ad0"
"3710",NA,"ص ز",NA,NA,"644997575","al-Ḥaqāʾiq",44,170,1,"S z"
"117",NA,"ط ي",NA,NA,"644997575","al-Ḥaqāʾiq",136,607,1,"T y"
"808","562149106368268492514","طانيوس عبده","1863","1927","4770057679","al-Muqtabas",245,1011,1,"Tanyws 3bdh"
"120",NA,"ع ع",NA,NA,"644997575","al-Ḥaqāʾiq",555,2713,1,"3 3"
