"referenced.periodical.title","publication.id.oclc","article.count","issue.count"
"العلم في القرن ال عشرين",4770057679,1,1
"العلماء",4770057679,1,1
"العمران",4770057679,1,1
"العملة",4770057679,1,1
"العهد",4770057679,1,1
"الفرنسوية",4770057679,1,1
"الفيغار",4770057679,1,1
"القدس",4770057679,1,1
"الكلية",4770057679,1,1
"الكونستيتوسيونل",4770057679,1,1
"اللاذقية",4770057679,1,1
"اللباب",4770057679,1,1
"اللهم",4770057679,1,1
"اللويد",4770057679,1,1
"الماتين",4770057679,1,1
"الماتيني",4770057679,1,1
"المايتن",4770057679,1,1
"المبشر",4770057679,1,1
"المتقتبس",4770057679,1,1
"المجلة الآسيوية",4770057679,1,1
"المجلة الإفريقية",4770057679,1,1
"المجلة الاستعمارية النيابية",4770057679,1,1
"المجلة الجرمانية الآسياوية",4770057679,1,1
"المجلة المدرسية",4770057679,1,1
"المجلة المصرية",4770057679,1,1
"المجلة الوردية",4770057679,1,1
"المجمع الطبي البريطاني",4770057679,1,1
"المحروسة",4770057679,1,1
"المراقب",4770057679,1,1
"المرج",4770057679,1,1
"المسائل الدولية الاستعمارية",4770057679,1,1
"المستشرقين",4770057679,1,1
"المصوَّر",4770057679,1,1
"المعين الاجتماعي",4770057679,1,1
"المفيد",4770057679,1,1
"المفيدة",4770057679,1,1
"المقتبس اليومي",4770057679,1,1
"المقطم",4770057679,1,1
"المنتج",4770057679,1,1
"المنتدى",4770057679,1,1
"المنهل الصافي",4770057679,1,1
"المورد الصافي",4770057679,1,1
"المورنن بوست",4770057679,1,1
"المورنن ليدر",4770057679,1,1
"الموصل",4770057679,1,1
"النجاح",4770057679,1,1
"النجف",4770057679,1,1
"النخل",4770057679,1,1
"النديم",4770057679,1,1
"النشرة",4770057679,1,1
"النيو النيوز اوف دي ورلد",4770057679,1,1
"الهدايا",4770057679,1,1
"الهداية",4770057679,1,1
"الوردية",4770057679,1,1
"الورقاء",4770057679,1,1
"الوطن",4770057679,1,1
"الوقائع",4770057679,1,1
"الوقائع المصرية",4770057679,1,1
"اليمن",4770057679,1,1
"بان",4770057679,1,1
"بغداد",4770057679,1,1
"بنسلفانيا باكت",4770057679,1,1
"پول مراقلينار ينه رهبر",4770057679,1,1
"تاريخ الأديان",4770057679,1,1
"تدريسات ابتدائية مجموعة سي",4770057679,1,1
"ترجمان",4770057679,1,1
"ترجمان حقيقت",4770057679,1,1
"ترقي",4770057679,1,1
"تصوف",4770057679,1,1
"تضمينات",4770057679,1,1
"تقويم وقائع",4770057679,1,1
"تنظيمات",4770057679,1,1
"تنوير الأفكار",4770057679,1,1
"جادالوز",4770057679,1,1
"جانطة",4770057679,1,1
"جبل لبنان",4770057679,1,1
"جريدة أدبية فكاهية إخبارية مصورة",4770057679,1,1
"جريدة التيمس",4770057679,1,1
"جريدة الحارس",4770057679,1,1
"جريدة السلام",4770057679,1,1
"جريدة الظاهر",4770057679,1,1
"جريدة بيروت",4770057679,1,1
"جريدة حوادث",4770057679,1,1
"جريدة عدلية",4770057679,1,1
"جريدة عسكرية",4770057679,1,1
"جم",4770057679,1,1
"جورنال بيروت",4770057679,1,1
"جيلاق",4770057679,1,1
"حكمت",4770057679,1,1
"حلب",4770057679,1,1
"حوادث الجمهور",4770057679,1,1
"دار الفنون",4770057679,1,1
"دليل غواة الطوابع",4770057679,1,1
"رسالة موقوتة حربية",4770057679,1,1
"رسملي كتاب",4770057679,1,1
"روضة المعارف",4770057679,1,1
"زراعية صناعية تجارية مصورة",4770057679,1,1
"سمير الصبا",4770057679,1,1
"سنين",4770057679,1,1
"سورية",4770057679,1,1
"شهراء",4770057679,1,1
"شورا",4770057679,1,1
"شوراي أمت",4770057679,1,1
"صحيفة نادي دار العلوم",4770057679,1,1
"صدى الشهباء",4770057679,1,1
"صراط مستقيم",4770057679,1,1
"ضياء",4770057679,1,1
"طبابت حاضرة",4770057679,1,1
"طرابلس الغرب",4770057679,1,1
"عثمانلي رساملر جمعيتي غزته سي",4770057679,1,1
"علم النفس",4770057679,1,1
"علمية دينية أدبية تهذيبية تاريخية",4770057679,1,1
"علوم اقتصادية واجتماعية مجموعة",4770057679,1,1
"غيديق",4770057679,1,1
"فتاة الشرق",4770057679,1,1
"فرنكفورت",4770057679,1,1
"قادين",4770057679,1,1
"قازان مخبري",4770057679,1,1
"قرة كوز",4770057679,1,1
"قره سنان",4770057679,1,1
"قلم",4770057679,1,1
"كوميديا",4770057679,1,1
"لابريس",4770057679,1,1
"لادي هوم جورنال",4770057679,1,1
"لاقتصاد الاجتماعي",4770057679,1,1
"لاومانيته",4770057679,1,1
"لبنان",4770057679,1,1
"لديلي ميل",4770057679,1,1
"لسان الحال",4770057679,1,1
"لسان الشرق",4770057679,1,1
"لطيف",4770057679,1,1
"لغة العرب",4770057679,1,1
"لمقتبس",4770057679,1,1
"لمورنن ليدر",4770057679,1,1
"مجلة أدبية فنية علمية",4770057679,1,1
"مجلة أدبية فنية فكاهية",4770057679,1,1
"مجلة الآثار",4770057679,1,1
"مجلة الأحكام الشرعية",4770057679,1,1
"مجلة الأنتروبوس الإنسان",4770057679,1,1
"مجلة الإصلاح الاجتماعي",4770057679,1,1
"مجلة الاجتماع الدولية",4770057679,1,1
"مجلة الاقتصاد الدولية",4770057679,1,1
"مجلة الاقتصاديين",4770057679,1,1
"مجلة التعليم الدولية",4770057679,1,1
"مجلة الشتاء",4770057679,1,1
"مجلة الشرق",4770057679,1,1
"مجلة الضياء",4770057679,1,1
"مجلة الطبيعة الفرنسية",4770057679,1,1
"مجلة العالم الاسلامي",4770057679,1,1
"مجلة العلم",4770057679,1,1
"مجلة العوام",4770057679,1,1
"مجلة القرن التاسع عشر",4770057679,1,1
"مجلة المباحث",4770057679,1,1
"مجلة الملكية",4770057679,1,1
"مجلة المورد الصافي",4770057679,1,1
"مجلة انتربية",4770057679,1,1
"مجلة جمعية الملاجئ العباسية ومكارم الأخلاق الإسلامية",4770057679,1,1
"مجلة حقوقية",4770057679,1,1
"مجلة دينية أدبية سياسية",4770057679,1,1
"مجلة دينية علمية أدبية اجتماعية",4770057679,1,1
"مجلة دينية علمية أدبية تهذيبية",4770057679,1,1
"مجلة دينية علمية إخبارية",4770057679,1,1
"مجلة عرفات",4770057679,1,1
"مجلة علم الاجتماع الدولية",4770057679,1,1
"مجلة علمية أخلاقية اجتماعية انتقادية عمرانية",4770057679,1,1
"مجلة علمية أدبية",4770057679,1,1
"مجلة علمية أدبية اجتماعية فكاهية",4770057679,1,1
"مجلة علمية أدبية صناعية",4770057679,1,1
"مجلة علمية دينية أخلاقية اجتماعية عمرانية",4770057679,1,1
"مجلة علمية فلسفية طبية زراعية",4770057679,1,1
"مجلة علمية فنية سياسية",4770057679,1,1
"مجلة فنية",4770057679,1,1
"مجلة كاثوليكية سياسية إخبارية تاريخية أدبية علمية",4770057679,1,1
"مجلة مستندات الترقي",4770057679,1,1
"مجلة مصر والشرق الفرنسية",4770057679,1,1
"مجلة مطالعاتنا في البيوت",4770057679,1,1
"مجلة نسائية علمية أدبية تاريخية أخلاقية اجتماعية",4770057679,1,1
"مجلة نسائية علمية أدبية صحية",4770057679,1,1
"مجموعة أبو الضيا",4770057679,1,1
"مخزن علوم",4770057679,1,1
"مسامرات الشعب",4770057679,1,1
"مستندات الترقي",4770057679,1,1
"مشرق",4770057679,1,1
"مطالعات البيوت",4770057679,1,1
"مطالعاتنا في البيوت",4770057679,1,1
"مطالعاتنا في بيوتنا",4770057679,1,1
"مقتطف",4770057679,1,1
"ملكية",4770057679,1,1
"مودا ملكه سي",4770057679,1,1
"نيويورك هرالد",4770057679,1,1
"وادي النيل",4770057679,1,1
"وقت",4770057679,1,1
"يكي إقدام",4770057679,1,1
"يكي تصوير أفكار",4770057679,1,1
"يكي كوه زه",4770057679,1,1
"يكي محيط المعارف غزته صي غزته سي",4770057679,1,1
